merchant_id,official_name,alias,category
MERCH_FD_000_0,Swiggy,SWIGGY,Food & Dining
MERCH_FD_000_0,Swiggy,SWIGGY*PAY,Food & Dining
MERCH_FD_000_0,Swiggy,Swiggy Instamart,Food & Dining
MERCH_FD_000_0,Swiggy,Swiggy {city},Food & Dining
MERCH_FD_000_0,Swiggy,SWIGGY FOODS,Food & Dining
MERCH_FD_000_1,Swiggy Express,SWIGGY EXPRESS,Food & Dining
MERCH_FD_000_1,Swiggy Express,SWIGGY*PAY EXPRESS,Food & Dining
MERCH_FD_000_1,Swiggy Express,Swiggy Instamart EXPRESS,Food & Dining
MERCH_FD_000_1,Swiggy Express,Swiggy {city} EXPRESS,Food & Dining
MERCH_FD_000_1,Swiggy Express,SWIGGY FOODS EXPRESS,Food & Dining
MERCH_FD_000_2,Swiggy Outlet,SWIGGY OUTLET,Food & Dining
MERCH_FD_000_2,Swiggy Outlet,SWIGGY*PAY OUTLET,Food & Dining
MERCH_FD_000_2,Swiggy Outlet,Swiggy Instamart OUTLET,Food & Dining
MERCH_FD_000_2,Swiggy Outlet,Swiggy {city} OUTLET,Food & Dining
MERCH_FD_000_2,Swiggy Outlet,SWIGGY FOODS OUTLET,Food & Dining
MERCH_FD_000_3,Swiggy Delivery,SWIGGY DELIVERY,Food & Dining
MERCH_FD_000_3,Swiggy Delivery,SWIGGY*PAY DELIVERY,Food & Dining
MERCH_FD_000_3,Swiggy Delivery,Swiggy Instamart DELIVERY,Food & Dining
MERCH_FD_000_3,Swiggy Delivery,Swiggy {city} DELIVERY,Food & Dining
MERCH_FD_000_3,Swiggy Delivery,SWIGGY FOODS DELIVERY,Food & Dining
MERCH_FD_001_4,Zomato,ZOMATO,Food & Dining
MERCH_FD_001_4,Zomato,ZOMATO*ORDER,Food & Dining
MERCH_FD_001_4,Zomato,Zomato Ltd,Food & Dining
MERCH_FD_001_4,Zomato,Zomato Gold,Food & Dining
MERCH_FD_001_4,Zomato,ZOMATO {city},Food & Dining
MERCH_FD_001_5,Zomato Express,ZOMATO EXPRESS,Food & Dining
MERCH_FD_001_5,Zomato Express,ZOMATO*ORDER EXPRESS,Food & Dining
MERCH_FD_001_5,Zomato Express,Zomato Ltd EXPRESS,Food & Dining
MERCH_FD_001_5,Zomato Express,Zomato Gold EXPRESS,Food & Dining
MERCH_FD_001_5,Zomato Express,ZOMATO {city} EXPRESS,Food & Dining
MERCH_FD_001_6,Zomato Outlet,ZOMATO OUTLET,Food & Dining
MERCH_FD_001_6,Zomato Outlet,ZOMATO*ORDER OUTLET,Food & Dining
MERCH_FD_001_6,Zomato Outlet,Zomato Ltd OUTLET,Food & Dining
MERCH_FD_001_6,Zomato Outlet,Zomato Gold OUTLET,Food & Dining
MERCH_FD_001_6,Zomato Outlet,ZOMATO {city} OUTLET,Food & Dining
MERCH_FD_001_7,Zomato Delivery,ZOMATO DELIVERY,Food & Dining
MERCH_FD_001_7,Zomato Delivery,ZOMATO*ORDER DELIVERY,Food & Dining
MERCH_FD_001_7,Zomato Delivery,Zomato Ltd DELIVERY,Food & Dining
MERCH_FD_001_7,Zomato Delivery,Zomato Gold DELIVERY,Food & Dining
MERCH_FD_001_7,Zomato Delivery,ZOMATO {city} DELIVERY,Food & Dining
MERCH_FD_002_8,Domino's Pizza,DOMINOS PIZZA,Food & Dining
MERCH_FD_002_8,Domino's Pizza,DOMINOS,Food & Dining
MERCH_FD_002_8,Domino's Pizza,JUBILANT FOODWORKS,Food & Dining
MERCH_FD_002_8,Domino's Pizza,DOMINOS ONLINE,Food & Dining
MERCH_FD_002_9,Domino's Pizza Express,DOMINOS PIZZA EXPRESS,Food & Dining
MERCH_FD_002_9,Domino's Pizza Express,DOMINOS EXPRESS,Food & Dining
MERCH_FD_002_9,Domino's Pizza Express,JUBILANT FOODWORKS EXPRESS,Food & Dining
MERCH_FD_002_9,Domino's Pizza Express,DOMINOS ONLINE EXPRESS,Food & Dining
MERCH_FD_002_10,Domino's Pizza Outlet,DOMINOS PIZZA OUTLET,Food & Dining
MERCH_FD_002_10,Domino's Pizza Outlet,DOMINOS OUTLET,Food & Dining
MERCH_FD_002_10,Domino's Pizza Outlet,JUBILANT FOODWORKS OUTLET,Food & Dining
MERCH_FD_002_10,Domino's Pizza Outlet,DOMINOS ONLINE OUTLET,Food & Dining
MERCH_FD_002_11,Domino's Pizza Delivery,DOMINOS PIZZA DELIVERY,Food & Dining
MERCH_FD_002_11,Domino's Pizza Delivery,DOMINOS DELIVERY,Food & Dining
MERCH_FD_002_11,Domino's Pizza Delivery,JUBILANT FOODWORKS DELIVERY,Food & Dining
MERCH_FD_002_11,Domino's Pizza Delivery,DOMINOS ONLINE DELIVERY,Food & Dining
MERCH_FD_003_12,McDonald's,MCDONALDS,Food & Dining
MERCH_FD_003_12,McDonald's,HARDCASTLE RESTAURANTS,Food & Dining
MERCH_FD_003_12,McDonald's,MCDONALDS {city},Food & Dining
MERCH_FD_003_12,McDonald's,MCD DELIVERY,Food & Dining
MERCH_FD_003_13,McDonald's Express,MCDONALDS EXPRESS,Food & Dining
MERCH_FD_003_13,McDonald's Express,HARDCASTLE RESTAURANTS EXPRESS,Food & Dining
MERCH_FD_003_13,McDonald's Express,MCDONALDS {city} EXPRESS,Food & Dining
MERCH_FD_003_13,McDonald's Express,MCD DELIVERY EXPRESS,Food & Dining
MERCH_FD_003_14,McDonald's Outlet,MCDONALDS OUTLET,Food & Dining
MERCH_FD_003_14,McDonald's Outlet,HARDCASTLE RESTAURANTS OUTLET,Food & Dining
MERCH_FD_003_14,McDonald's Outlet,MCDONALDS {city} OUTLET,Food & Dining
