merchant,merchant_alias,description,category
Spotify Digital,SPOTIFY INDIA DIGITAL,Spotify Digital - Recurring Subscription,Entertainment
BookMyShow Media,BMS TICKETS MEDIA,Concert Event Passes,Entertainment
Goibibo Travels,GOIBIBO TRAVELS,Outstation Cab & Homestay,Vacation
Practo Medical,PRACTO CARE MEDICAL,Dentist Appointment Booking,Healthcare
Tata Play DTH Utility,TATA SKY DTH UTILITY,DTH Monthly HD Pack Recharge,Utilities
Indane LPG Gas Utility,INDANE GAS UTILITY,14.2kg Domestic LPG Cylinder Booking,Utilities
Airtel Broadband Utility,BHARTI AIRTEL UTILITY,Airtel Broadband Utility - Recurring Subscription,Utilities
Starbucks,STARBUCKS,Iced Americano & Croissant,Food & Dining
Airtel Broadband Bill,AIRTEL BROADBAND BILL,Airtel Broadband Bill - Recurring Subscription,Utilities
Blinkit Direct,BLINKIT DIRECT,Morning Breakfast Supplies,Groceries
JioFiber Utility,RELIANCE JIO INFOCOMM UTILITY,JioFiber Unlimited Internet Monthly Plan,Utilities
SonyLIV India,SONYLIV INDIA,SonyLIV India - Recurring Subscription,Entertainment
Investor Corporate Payout,SALARY/ISHANREDDY,Monthly Salary Credit - September 2025,Miscellaneous
Myntra Digital,MYNTRA FASHION DIGITAL,Leather Jacket & Boots,Shopping
Swiggy Delivery,Swiggy Instamart DELIVERY,Pizza Order,Food & Dining
Paytm Money Capital,PAYTM MONEY CAPITAL,Paytm Money Capital - Recurring Subscription,Investments
Investor Corporate Payout,SALARY/PRIYACHOWDHURY,Monthly Salary Credit - April 2025,Miscellaneous
MSEDCL Power Bill,MAHARASHTRA ELECTRICITY BILL,MSEDCL Power Bill - Recurring Subscription,Utilities
Uber Pay,UBER PAY,Uber Premier Airport Drop,Transportation
Flipkart Fashion,FKMP PAY FASHION,Kitchen Mixer Grinder,Shopping
BigBasket Store,BB INSTANT STORE,Weekly Organic Vegetables,Groceries
School Tuition Fee,DELHI PUBLIC SCHOOL FEE,Quarterly School Tuition & Transport Fee,Education
Shell Petrol Pump Pay,SHELL PAY,Shell V-Power Petrol Refill,Transportation
Wonderla Media,WONDERLA AMUSEMENT PARK MEDIA,Amusement Park Fastrack Tickets,Entertainment
Mainland China Express,SPECIALITY RESTAURANTS EXPRESS,Dim Sum & Dumplings,Food & Dining
Social Delivery,SOCIAL DELIVERY,Craft Beer & Nachos,Food & Dining
Zerodha Capital,ZERODHA BROKING CAPITAL,Monthly Mutual Fund SIP Investment,Investments
Lenskart Care,LENSKART SOLUTIONS CARE,Contact Lenses & Solution,Healthcare
HP Gas Utility,HP GAS UTILITY,HP Gas Utility - Recurring Subscription,Utilities
Rapido Service,RAPIDO BIKE SERVICE,Rapido Auto Ride,Transportation
Tata Power Bill,TATA POWER DELHI BILL,Electricity Bill Payment,Utilities
Apple Store Fashion,APPLE STORE FASHION,iPhone 15 Pro Purchase,Shopping
Indane LPG Gas,INDIAN OIL LPG,14.2kg Domestic LPG Cylinder Booking,Utilities
Beardo,ZED BLACK BEARDO,Beard Oil & Growth Serum,Grooming
Landlord Direct Rent Online,RENT PAYMENT ONLINE,Monthly Apartment Rent Transfer,Rent & Housing
Unacademy Academy,UNACADEMY ACADEMY,Unacademy Academy - Recurring Subscription,Education
Vi Postpaid Bill,VI POSTPAID BILL,Vi Postpaid Bill - Recurring Subscription,Utilities
PhysicsWallah Learning,PHYSICSWALLAH LEARNING,JEE Main Target Batch Course Fee,Education
Housing.com Rent,HOUSING.COM RENT,House Rent Payment via Housing Pay,Rent & Housing
