merchant_id,official_name,category,typical_min_amount,typical_max_amount,is_subscription_eligible,subscription_frequency,alias_count
MERCH_FD_000_0,Swiggy,Food & Dining,120,1500,False,N/A,5
MERCH_FD_000_1,Swiggy Express,Food & Dining,120,1500,False,N/A,5
MERCH_FD_000_2,Swiggy Outlet,Food & Dining,120,1500,False,N/A,5
MERCH_FD_000_3,Swiggy Delivery,Food & Dining,120,1500,False,N/A,5
MERCH_FD_001_4,Zomato,Food & Dining,150,1800,False,N/A,5
MERCH_FD_001_5,Zomato Express,Food & Dining,150,1800,False,N/A,5
MERCH_FD_001_6,Zomato Outlet,Food & Dining,150,1800,False,N/A,5
MERCH_FD_001_7,Zomato Delivery,Food & Dining,150,1800,False,N/A,5
MERCH_FD_002_8,Domino's Pizza,Food & Dining,250,2200,False,N/A,4
MERCH_FD_002_9,Domino's Pizza Express,Food & Dining,250,2200,False,N/A,4
MERCH_FD_002_10,Domino's Pizza Outlet,Food & Dining,250,2200,False,N/A,4
MERCH_FD_002_11,Domino's Pizza Delivery,Food & Dining,250,2200,False,N/A,4
MERCH_FD_003_12,McDonald's,Food & Dining,120,1200,False,N/A,4
MERCH_FD_003_13,McDonald's Express,Food & Dining,120,1200,False,N/A,4
MERCH_FD_003_14,McDonald's Outlet,Food & Dining,120,1200,False,N/A,4
MERCH_FD_003_15,McDonald's Delivery,Food & Dining,120,1200,False,N/A,4
MERCH_FD_004_16,Starbucks,Food & Dining,300,1600,False,N/A,4
MERCH_FD_004_17,Starbucks Express,Food & Dining,300,1600,False,N/A,4
MERCH_FD_004_18,Starbucks Outlet,Food & Dining,300,1600,False,N/A,4
MERCH_FD_004_19,Starbucks Delivery,Food & Dining,300,1600,False,N/A,4
MERCH_FD_005_20,KFC,Food & Dining,200,1800,False,N/A,4
MERCH_FD_005_21,KFC Express,Food & Dining,200,1800,False,N/A,4
MERCH_FD_005_22,KFC Outlet,Food & Dining,200,1800,False,N/A,4
MERCH_FD_005_23,KFC Delivery,Food & Dining,200,1800,False,N/A,4
MERCH_FD_006_24,Pizza Hut,Food & Dining,250,1900,False,N/A,3
MERCH_FD_006_25,Pizza Hut Express,Food & Dining,250,1900,False,N/A,3
MERCH_FD_006_26,Pizza Hut Outlet,Food & Dining,250,1900,False,N/A,3
MERCH_FD_006_27,Pizza Hut Delivery,Food & Dining,250,1900,False,N/A,3
MERCH_FD_007_28,Burger King,Food & Dining,150,1100,False,N/A,3
MERCH_FD_007_29,Burger King Express,Food & Dining,150,1100,False,N/A,3
MERCH_FD_007_30,Burger King Outlet,Food & Dining,150,1100,False,N/A,3
MERCH_FD_007_31,Burger King Delivery,Food & Dining,150,1100,False,N/A,3
MERCH_FD_008_32,Subway,Food & Dining,180,1200,False,N/A,3
MERCH_FD_008_33,Subway Express,Food & Dining,180,1200,False,N/A,3
MERCH_FD_008_34,Subway Outlet,Food & Dining,180,1200,False,N/A,3
